source,target
2975,6384
2975,2975
2975,530
2975,8349
2975,8351
2975,8354
2975,1107983
2975,52057
2975,110380
2975,18471
2975,74611
2975,1407498
6384,530
6384,1357063
6384,40644
1357063,40644
6384,1779512
40644,1779512
21127,6384
21127,1692944
6384,1692944
64,1776
64,6384
1776,6384
1776,38803
38803,64
20215,1776
20215,2130
1776,2130
529,530
529,532
530,532
8349,8351
8349,8354
8351,8354
8349,1278399
8349,1659326
1278399,1659326
8349,26466
8349,18269
26466,18269
8349,5606
8349,5632
5606,5632
8349,1179102
8349,11367
8349,31028
11367,31028
8349,1397846
8349,2166741
1397846,2166741
3266,8349
3266,36059
8349,36059
21010,8349
21010,101032
8349,101032
98569,2080584
98569,8349
2080584,8349
103835,6717
103835,8349
6717,8349
928944,2022250
928944,9979
2022250,9979
514,6193
514,1892
6193,1892
2641,92029
2641,218506
92029,218506
2098136,2098137
2098136,2098138
2098137,2098138
1107983,52057
1107983,110380
52057,110380
1107983,181934
1107983,496175
181934,496175
1107983,1280183
1107983,1006651
1280183,1006651
1107983,237876
180659,1107983
180659,1280183
1165240,1107983
1165240,1280183
2787630,89289
2787630,1107983
89289,1107983
2102583,73988
2102583,21111
73988,21111
2787630,2803017
2787630,2803001
2803017,2803001
4193575,4193577
4193575,4193578
4193577,4193578
2954,33663
2954,2301996
33663,2301996
214317,13716
214317,117180
13716,117180
23626,937663
23626,1931175
937663,1931175
12951,2998183
12951,1231277
2998183,1231277
60158,52057
60158,24810
52057,24810
2535,225620
2535,52057
225620,52057
1683093,79538
1683093,1562353
79538,1562353
1038,4173
1038,349
4173,349
4587,110380
4587,9780
110380,9780
19011,146687
19011,74266
146687,74266
1507609,1507612
1507609,1507613
1507612,1507613
1122373,1122374
1122373,1122375
1122374,1122375
18471,74611
18471,1407498
74611,1407498
1897,18471
1897,77896
18471,77896
2395,1735828
2395,53397
1735828,53397
1224841,539
1224841,111513
539,111513
2682390,2227
2682390,4430
2227,4430
14837,5823
14837,3141
5823,3141
449538,13309
449538,1661465
13309,1661465
102786,128550
102786,2320880
128550,2320880
